병원명,시술명,샷수,정가,할인가
Vincent Clinic Asok Bangkok,Program Ultraformer MPT (200 Shots),200,"฿16,799","฿12,999"
Vincent Clinic Asok Bangkok,Program Ultraformer MPT (800 Shots),800,"฿38,399","฿29,990"
Vincent Clinic Asok Bangkok,Program Ultraformer MPT (400 Shots),400,"฿28,799","฿19,999"
Vincent Clinic Asok Bangkok,Program Ultraformer MPT (600 Shots),600,"฿35,999","฿28,372"
Asia Clinic Marche Thonglor,Ultraformer MPT (400 Shots) Free Pico Laser (3 Times),400,"฿22,000","฿8,900"
Asia Clinic Marche Thonglor,Ultraformer MPT (400 Shots) Free botulinum To.xin Nabota (50 Units),400,"฿20,000","฿8,900"
Asia Clinic Marche Thonglor,Ultraformer MPT (400 Shots) Free Diode Laser Hair Removal (5 Times),400,"฿18,000","฿8,900"
Bdl Clinic,Ultraformer MPT (300 Shots),300,"฿21,000","฿3,799"
Bdl Clinic,Ultraformer MPT (600 Shots),600,"฿40,000","฿5,799"
Vincent Clinic Iconsiam Ics Lifestyle Complex,Program Ultraformer MPT (200 Shots),200,"฿16,799","฿12,999"
Vincent Clinic Iconsiam Ics Lifestyle Complex,Program Ultraformer MPT (800 Shots),800,"฿38,399","฿29,990"
Vincent Clinic Iconsiam Ics Lifestyle Complex,Program Ultraformer MPT (600 Shots),600,"฿35,999","฿28,372"
Vincent Clinic Iconsiam Ics Lifestyle Complex,Program Ultraformer MPT (400 Shots),400,"฿28,799","฿19,999"
Vitaline Neuro Aesthetic Wellness,Ultraformer MPT - Facial Lifting (300 Shots),300,"฿15,999","฿10,999"
Vitaline Neuro Aesthetic Wellness,Ultraformer MPT - Facial Lifting (200 Shots),200,"฿13,900","฿7,400"
Vitaline Neuro Aesthetic Wellness,Ultraformer MPT - Cheeks and Double Chin (400 Shots),400,"฿24,999","฿12,990"
De Wow Clinic,Ultraformer MPT - Whole Face & Neck (Unlimited Shots),,"฿17,000","฿8,888"
De Wow Clinic,Ultraformer MPT - Facial (300 Shots),300,"฿12,000","฿5,999"
De Wow Clinic,Ultraformer MPT (300 Shots)  Free Fat (10 cc.),300,"฿14,000","฿5,999"
Laor Clinic,Ultraformer MPT (Smile lines Under eyes) Cherry Pink2.00mm 200 Shot,200,"฿6,990","฿2,999"
Laor Clinic,Ultraformer MPT 300 shots whole face,300,"฿10,000","฿4,999"
Laor Clinic,Ultraformer MPT 600 shots whole face  Free Botox 50u,600,"฿15,000","฿9,900"
Laor Clinic,Ultraformer MPT 500 shots Free Botox Nabota 20u,500,"฿11,999","฿7,999"
Edition Clinic Marche Thonglor,Edition V-Line Ultraformer MPT (400 Shots) including Ultraboost Function (*Authentic Machine can be Verify) (Procedure by Expert Doctor),400,"฿24,000","฿18,500"
Edition Clinic Marche Thonglor,Edition Eye Lifting (100 Shots) - Eyelid Tightening with Ultraformer MPT,100,"฿5,000","฿4,260"
Edition Clinic Marche Thonglor,Edition Lifting Underarms 400 Shots with Ultraformer MPT,400,"฿23,000","฿18,500"
Obliv Young Clinic,Ultraformer MPT 300 shots *Limited 1 per customer*,300,"฿15,900","฿8,999"
Progression Clinic The Mall Ngamwongwan,Ultraformer MPT (800 Shots),800,"฿39,900","฿16,999"
Progression Clinic The Mall Ngamwongwan,Ultraformer MPT (600 Shots),600,"฿28,900","฿12,999"
Progression Clinic The Mall Ngamwongwan,Ultraformer MPT (400 Shots),400,"฿19,500","฿9,214"
Progression Clinic The Mall Ngamwongwan,Ultraformer MPT - Facial (200 Shots),200,"฿7,900","฿5,999"
Progression Clinic The Mall Ngamwongwan,Ultraformer MPT (400 Shots)  * Free Fat (10 cc.),400,"฿14,000","฿6,999"
Progression Clinic The Mall Ngamwongwan,Ultraformer MPT - Facial (100 Shots),100,"฿4,900","฿2,499"
The Miu Clinic Ramindra 109,Ultraformer MPT - Lifting face and double chin (Unlimited Shots),,"฿12,900","฿5,999"
The Miu Clinic Ramindra 109,Ultraformer MPT - Face Lifting (100 Shots),100,"฿5,999","฿1,999"
Meditique Clinic,"Ultraformer MPT (Full Face, Chin&Neck Contour Lift) 500 Shots Free 300 Shots *Please reserve via by Line @meditiqueclinic",500,"฿39,990","฿29,990"
Meditique Clinic,Ultraformer MPT (Full Face Lift & Wrinkle Reduction) 300Shots Free 300Shots *Please reserve via by Line @meditiqueclinic,300,"฿32,490","฿22,490"
Meditique Clinic,Ultraformer MPT (Jawline & Chin Contour Lift) 200Shots Free 200Shots *Please reserve via by Line @meditiqueclinic,200,"฿24,990","฿14,990"
The Miu Clinic Maxvalu Lak Si,Ultraformer MPT - Face Lifting (100 Shots),100,"฿5,999","฿1,999"
The Miu Clinic Maxvalu Lak Si,Ultraformer MPT - Lifting face and double chin (Unlimited Shots),,"฿12,900","฿5,999"
Aestima Clinic Siam Paragon Branch,Ultraformer MPT - Facial Lifting (250 Shots),250,"฿12,500","฿9,500"
Aestima Clinic Siam Paragon Branch,Ultraformer MPT - Facial Lifting (400 Shots),400,"฿20,000","฿15,500"
Vincent Clinic Promenade,Program Ultraformer MPT (200 Shots),200,"฿16,799","฿12,999"
Vincent Clinic Promenade,Program Ultraformer MPT (400 Shots),400,"฿28,799","฿19,999"
Vincent Clinic Promenade,Program Ultraformer MPT (800 Shots),800,"฿38,399","฿29,990"
Vincent Clinic Promenade,Program Ultraformer MPT (600 Shots),600,"฿35,999","฿28,226"
Romrawin Clinic Silom Complex,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,"฿40,000","฿15,000"
Romrawin Clinic Silom Complex,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time,400,"฿43,000","฿24,990"
Vincent Clinic Central Rama 2,Program Ultraformer MPT (200 Shots),200,"฿16,799","฿12,999"
Vincent Clinic Central Rama 2,Program Ultraformer MPT (600 Shots),600,"฿35,999","฿28,226"
Vincent Clinic Central Rama 2,Program Ultraformer MPT (400 Shots),400,"฿28,799","฿19,999"
Vincent Clinic Central Rama 2,Program Ultraformer MPT (800 Shots),800,"฿38,399","฿29,990"
View Clinic Thailand Sukhumvit Soi 24,Ultraformer MPT- (300 Shots)  (1 Time) (Authentic Product / Physician-Performed),300,"฿17,900","฿8,500"
View Clinic Thailand Sukhumvit Soi 24,Ultraformer MPT – (200 Shots) (1 Session) (Authentic Machine/ Physician-Performed),200,"฿11,900","฿5,590"
Romrawin Clinic The Promenade,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time,400,"฿43,000","฿24,990"
Romrawin Clinic The Promenade,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,"฿40,000","฿15,000"
The Ritz Clinic The Mall Bang Kapi,Ultraformer MPT (400 Lines),400,"฿20,000","฿15,900"
Romrawin Clinic Central Ladprao,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,"฿40,000","฿15,000"
Romrawin Clinic Central Ladprao,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time,400,"฿43,000","฿24,990"
Romrawin,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*  *Can't be used at Chidlom branch*,400,"฿40,000","฿15,000"
Romrawin,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time *Can't be used at Chidlom branch*,400,"฿43,000","฿24,990"
Gmn Clinic Bearing,Ultraformer MPT (100 Shots),100,"฿11,999","฿5,999"
Gmn Clinic Bearing,Ultraformer MPT (500 Shots),500,"฿44,999","฿29,995"
Gmn Clinic Bearing,Ultraformer MPT( 200 Shots),200,"฿17,999","฿11,999"
Gmn Clinic Bearing,Ultraformer MPT (800 Shots),800,"฿56,999","฿47,990"
Gmn Clinic Bearing,"Ultraformer MPT (1,000 Shots)",0,"฿59,999","฿49,900"
Gmn Clinic Bearing,Ultraformer MPT (600 Shots),600,"฿50,999","฿35,990"
Gmn Clinic Bearing,Ultraformer MPT (400 Shots),400,"฿35,999","฿23,999"
Gmn Clinic Bearing,Ultraformer MPT (300 Shots),300,"฿29,999","฿17,999"
Poff Clinic,Ultraformer MPT Lifting (200 Shots),200,"฿16,490","฿9,999"
Poff Clinic,Ultraformer MPT Lifting (400 Shots),400,"฿18,500","฿15,990"
Poff Clinic,Sculptra (10 cc.) (Free Ultraformer MPT Boost Head â 50 Shots),50,"฿28,500","฿21,990"
Poff Clinic,Ultraformer MPT Lifting (600 Shots),600,"฿22,490","฿21,990"
Poff Clinic,Ultraformer MPT Lifting (800 Shots),800,"฿28,490","฿27,990"
The Ritz Clinic Ics Lifestyle Complex,Ultraformer MPT (400 Lines),400,"฿20,000","฿15,900"
The Crown Clinic,Ultraformer MPT 900 shots,900,"฿15,999",
The Crown Clinic,Ultraformer MPT 600 shots,600,"฿12,999",
The Crown Clinic,Ultraformer MPT (800 Shots),800,"฿14,999","฿12,999"
The Crown Clinic,Ultraformer MPT 800 shots,800,"฿13,999",
The Crown Clinic,Ultraformer MPT 1300 shots,1300,"฿18,999",
Romrawin Clinic Emquartier,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,"฿40,000","฿15,000"
Romrawin Clinic Emquartier,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time,400,"฿43,000","฿24,990"
Merry Clinic,Ultraformer MPT 700 Shot,700,"฿70,000","฿45,500"
Merry Clinic,Ultraformer MPT- 450 Shot,450,"฿45,000","฿29,250"
Merry Clinic,Ultraformer MPT - 300 Shot,300,"฿30,000","฿19,500"
Romrawin Clinic Nanglinchi Road,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time,400,"฿43,000","฿24,990"
Romrawin Clinic Nanglinchi Road,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,"฿40,000","฿15,000"
Romrawin Clinic Central Grand Rama 9,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time,400,"฿43,000","฿24,990"
Romrawin Clinic Central Grand Rama 9,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,"฿40,000","฿15,000"
The Ritz Clinic Central Rama2,Ultraformer MPT (400 Lines),400,"฿20,000","฿15,900"
Romrawin Clinic Mega Bangna,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,"฿40,000","฿15,000"
Romrawin Clinic Mega Bangna,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time,400,"฿43,000","฿24,990"
Romrawin Clinic Central Pinklao,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,"฿40,000","฿15,000"
Romrawin Clinic Central Pinklao,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time,400,"฿43,000","฿24,990"
Romrawin Clinic The Mall Bangkapi,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time,400,"฿43,000","฿24,990"
Romrawin Clinic The Mall Bangkapi,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,"฿40,000","฿15,000"
Romrawin Clinic Central Festival Eastvile,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,"฿40,000","฿15,000"
Romrawin Clinic Central Festival Eastvile,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time,400,"฿43,000","฿24,990"
Reva Clinic,Programs Ultraformer MPT 400 Shots,400,"฿21,000","฿15,990"
Romrawin Clinic Siam Paragon,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time,400,"฿43,000",
Romrawin Clinic Siam Paragon,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,"฿40,000",
Romrawin Clinic Central Rama 2,Ultraformer MPT 4D Lift 400 Lines for First Time Trial Only *Limited 1 Purchse per User*,400,"฿40,000","฿15,000"
Romrawin Clinic Central Rama 2,Ultraformer MPT 400 Shots FREE Smart Laser 1 Time,400,"฿43,000","฿24,990"
Maxi Cosmetic Surgery Samyan,Ultraformer MPT (300 Shots)  Procedures Performed by Doctor,300,"฿24,000","฿5,999"
Maxi Cosmetic Surgery Samyan,Ultraformer MPT (200 Shots)  Procedures Performed by Doctor,200,"฿16,000","฿4,999"
Glamora Clinic,Ultraformer MPT - Facial Lifting (300 Shots),300,"฿17,000","฿14,999"
Glamora Clinic,Ultraformer MPT - Facial Lifting (100 Shots),100,"฿10,000","฿4,999"
Ganaeng Clinic 19214Ac6 B990 4268 A564 7D72E4E65Ff2,Ultraformer MPT Lifting (200 Shots),200,"฿10,360","฿5,180"
Ganaeng Clinic 19214Ac6 B990 4268 A564 7D72E4E65Ff2,Ultraformer MPT Lifting (300 Shots),300,"฿15,540","฿7,770"
Ganaeng Clinic 19214Ac6 B990 4268 A564 7D72E4E65Ff2,"Ultraformer MPT Lifting (1,000 Shots)",0,"฿31,980","฿15,990"
Ganaeng Clinic 19214Ac6 B990 4268 A564 7D72E4E65Ff2,"Ultraformer MPT Lifting (1,500 Shots)",500,"฿45,000","฿22,500"
Ganaeng Clinic 19214Ac6 B990 4268 A564 7D72E4E65Ff2,Ultraformer MPT Lifting (100 Shots),100,"฿5,180","฿2,590"
Ganaeng Clinic 19214Ac6 B990 4268 A564 7D72E4E65Ff2,Ultraformer MPT Lifting (600 Shots),600,"฿19,980","฿9,990"
Sdc Clinic,Ultraformer MPT - Facial (100 Shots),100,"฿5,000","฿2,290"
Primada Clinic,"Ultraformer MPT - Whole Face & Neck (Unlimited Shots) ,Thai FDA By Doctor.",,"฿30,000","฿14,999"
Emerald Clinic 1 Floor At The Sixsense Tower Sukhumvit 45,Ultraformer MPT (500 Shots) (Procedures Performed by Doctor),500,"฿75,000","฿8,999"
Root Clinic Cdc Zone L4 Floor 2,Ultraformer MPT - Cheeks and Double Chin (300 Shots) (Procedure Performed by Doctor) (*Please Make a Reservation in Advance),300,"฿19,900","฿9,899"
The Miu Wellbeing Clinic Bangna Branch,Ultraformer MPT - Face Lifting (100 Shots),100,"฿5,999","฿1,999"
The Miu Wellbeing Clinic Bangna Branch,Ultraformer MPT - Lifting Face and Double Chin (Unlimited Shots),,"฿12,900","฿5,999"
